emotion,song,language,link
happy,Ilahi,Hindi,https://www.youtube.com/watch?v=fdubeMFwuGs
happy,Badtameez Dil,Hindi,https://www.youtube.com/watch?v=II2EO3Nw4m0
happy,London Thumakda,Hindi,https://www.youtube.com/watch?v=udra3Mfw2oo
happy,Kar Gayi Chull,Hindi,https://www.youtube.com/watch?v=NTHz9ephYTw
happy,Gallan Goodiyan,Hindi,https://www.youtube.com/watch?v=jCEdTq3j-0U
happy,Senorita,Hindi,https://www.youtube.com/watch?v=ZbZSe6N_BXs
happy,Brown Munde,Punjabi,https://www.youtube.com/watch?v=VNs_cCtdbPc
happy,Lahore,Punjabi,https://www.youtube.com/watch?v=dZ0fwJojhrs
happy,Dj walleh babu,Punjabi,https://www.youtube.com/watch?v=OulN7vTDq1I
happy,Malhari,Hindi,https://www.youtube.com/watch?v=l_MyUGq7pgs
happy,Ghungroo,Hindi,https://www.youtube.com/watch?v=qFkNATtc3mc
happy,Do You Know,Punjabi,https://www.youtube.com/watch?v=FJ55SHCzt88
happy,Shake It,English,https://www.youtube.com/watch?v=nfWlot6h_JM
happy,Naah,Punjabi,https://www.youtube.com/watch?v=8uJ-wOljP_s
happy,Dhadang Dhadang,Hindi,https://www.youtube.com/watch?v=5iGf_KNuN4w
happy,Aapna Time aayega,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
sad,Channa Mereya,Hindi,https://www.youtube.com/watch?v=284Ov7ysmfA
sad,Agar Tum Saath Ho,Hindi,https://www.youtube.com/watch?v=sK7riqg2mr4
sad,Kal Ho Naa Ho,Hindi,https://www.youtube.com/watch?v=g0eO74UmRBs
sad,Filhall,Punjabi,https://www.youtube.com/watch?v=hMy5za-m5Ew
sad,Excuses,Punjabi,https://www.youtube.com/watch?v=vX2cDW8LUWk
sad,Tumse Hi,Hindi,https://www.youtube.com/watch?v=mt9xg0mmt28
sad,Teri Mitti,Hindi,https://www.youtube.com/watch?v=Qdz5n1Xe5Qo
sad,Ae Dil Hai Mushkil,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
sad,Khairiyat,Hindi,https://www.youtube.com/watch?v=hoNb6HuNmU0
angry,Apna Time Aayega,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
angry,Zinda,Hindi,https://www.youtube.com/watch?v=Ax0G_P2dSBw
angry,Sultan Title Track,Hindi,https://www.youtube.com/watch?v=wPxqcq6Byq0
angry,Levels,Punjabi,https://www.youtube.com/watch?v=K5KAc5CoCuk
angry,Vaar,Punjabi,https://www.youtube.com/watch?v=vX2cDW8LUWk
angry,Zanjeer Title,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
stressed,Kun Faya Kun,Hindi,https://www.youtube.com/watch?v=T94PHkuydcw
stressed,Iktara,Hindi,https://www.youtube.com/watch?v=fSS_R91Nimw
stressed,Phir Se Ud Chala,Hindi,https://www.youtube.com/watch?v=2mWaqsC3U7k
stressed,Sham,Hindi,https://www.youtube.com/watch?v=R0XjwtP_iTY
stressed,Khairiyat Stressed,Hindi,https://www.youtube.com/watch?v=hoNb6HuNmU0
stressed,Ae Dil Hai Mushkil Slow,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
stressed,Main Yahaan Hoon,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
stressed,In Aankhon Ki Masti,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
stressed,Raabta Calming,Hindi,https://www.youtube.com/watch?v=zlt38OOqwDc
stressed,Slow Down,Punjabi,https://www.youtube.com/watch?v=vX2cDW8LUWk
stressed,Yeh Jo Halka Halka,Hindi,https://www.youtube.com/watch?v=T94PHkuydcw
stressed,Breathe Again,Hindi,https://www.youtube.com/watch?v=fSS_R91Nimw
neutral,Tum Se Hi,Hindi,https://www.youtube.com/watch?v=mt9xg0mmt28
neutral,Raataan Lambiyan,Hindi,https://www.youtube.com/watch?v=gvyUuxdRdR4
neutral,Do You Know,Punjabi,https://www.youtube.com/watch?v=FJ55SHCzt88
neutral,Kesariya,Hindi,https://www.youtube.com/watch?v=BddP6PYo2gs
neutral,Raabta,Hindi,https://www.youtube.com/watch?v=zlt38OOqwDc
neutral,Tu Aashiqui,Hindi,https://www.youtube.com/watch?v=9bZkp7q19f0
neutral,Main Hoon Na Title,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
neutral,Kabhi Alvida Na Kehna,Hindi,https://www.youtube.com/watch?v=g0eO74UmRBs
neutral,Naah Goriye,Punjabi,https://www.youtube.com/watch?v=8uJ-wOljP_s
love,Tum Hi Ho,Hindi,https://www.youtube.com/watch?v=Umqb9KENgmk
love,Tera Ban Jaunga,Hindi,https://www.youtube.com/watch?v=Qdz5n1Xe5Qo
love,Raabta ,Hindi,https://www.youtube.com/watch?v=zlt38OOqwDc
love,Kesariya ,Hindi,https://www.youtube.com/watch?v=BddP6PYo2gs
love,Kya Baat Ay,Punjabi,https://www.youtube.com/watch?v=hoNb6HuNmU0
love,Gerua,Hindi,https://www.youtube.com/watch?v=AEIVhBS6baE
love,Channa Mereya  Version,Hindi,https://www.youtube.com/watch?v=284Ov7ysmfA
love,Agar Tum Saath Ho ,Hindi,https://www.youtube.com/watch?v=sK7riqg2mr4
love,Filhall 2,Punjabi,https://www.youtube.com/watch?v=hMy5za-m5Ew
fear,Alvida,Hindi,https://www.youtube.com/watch?v=g0eO74UmRBs
fear,Tu Aashiqui ,Hindi,https://www.youtube.com/watch?v=9bZkp7q19f0
fear,In Aankhon Ki ,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
fear,Teri Mitti ,Hindi,https://www.youtube.com/watch?v=Qdz5n1Xe5Qo
fear,Ae Dil Hai Mushkil ,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
fear,Yeh Ishq Haaye,Hindi,https://www.youtube.com/watch?v=mt9xg0mmt28
fear,Kal Ho Naa Ho ,Hindi,https://www.youtube.com/watch?v=g0eO74UmRBs
fear,Mujhe Haq Hai,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
surprise,Ghungroo ,Hindi,https://www.youtube.com/watch?v=qFkNATtc3mc
surprise,London Thumakda ,Hindi,https://www.youtube.com/watch?v=udra3Mfw2oo
surprise,Gallan Goodiyan ,Hindi,https://www.youtube.com/watch?v=jCEdTq3j-0U
surprise,Brown Munde ,Punjabi,https://www.youtube.com/watch?v=VNs_cCtdbPc
surprise,Malhari ,Hindi,https://www.youtube.com/watch?v=l_MyUGq7pgs
bored,Iktara,Hindi,https://www.youtube.com/watch?v=fSS_R91Nimw
bored,Phir Se Ud Chala,Hindi,https://www.youtube.com/watch?v=2mWaqsC3U7k
bored,Tum Se Hi ,Hindi,https://www.youtube.com/watch?v=mt9xg0mmt28
bored,Ae Dil Hai Mushkil ,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
bored,Sham ,Hindi,https://www.youtube.com/watch?v=R0XjwtP_iTY
bored,Kun Faya Kun ,Hindi,https://www.youtube.com/watch?v=T94PHkuydcw
bored,In Aankhon Ki ,Hindi,https://www.youtube.com/watch?v=6FURuLYrR_Q
bored,Yeh Jo Halka Halka ,Hindi,https://www.youtube.com/watch?v=T94PHkuydcw
bored,Slow Down,Punjabi,https://www.youtube.com/watch?v=vX2cDW8LUWk
bored,Main Yahaan Hoon ,Hindi,https://www.youtube.com/watch?v=jFGKJBPFdUA
bored,Breathe Again ,Hindi,https://www.youtube.com/watch?v=fSS_R91Nimw
bored,Khairiyat ,Hindi,https://www.youtube.com/watch?v=hoNb6HuNmU0
