text,emotion
I feel extremely happy today,happy
This is the best day ever,happy
I am feeling joyful and energetic,happy
Everything is going perfectly,happy
I feel so cheerful right now,happy
I am dancing with happiness,happy
I love playing cricket,happy
I enjoy coding a lot,happy
I am celebrating with my friends,happy
I feel excited about my future,happy
I am smiling all day long,happy
Life is beautiful today,happy
I feel awesome today,happy
I am enjoying every moment,happy
I am in a great mood,happy
Today was absolutely wonderful,happy
I feel on top of the world,happy
My heart is full of joy,happy
I just got great news,happy
Everything worked out perfectly today,happy
I feel like the happiest person alive,happy
I had the most amazing day,happy
I am grinning from ear to ear,happy
My day is going really well,happy
I feel light and free today,happy
I woke up feeling fantastic,happy
I feel so grateful and happy,happy
This made me so happy,happy
I am beaming with happiness,happy
I feel pure joy right now,happy
Life could not be better,happy
I am overjoyed with what happened,happy
Things are finally going my way,happy
I feel so good about life,happy
I passed my exam and I am so happy,happy
I got a promotion and I am thrilled,happy
My friends threw me a surprise party,happy
I just finished a great workout and feel amazing,happy
I achieved my goal and I am proud,happy
I feel absolutely brilliant today,happy
I had so much fun today,happy
I am laughing and enjoying life,happy
Today brought me so much happiness,happy
I feel motivated and energetic,happy
I am in a wonderful mood today,happy
I feel satisfied with my life right now,happy
I cannot stop smiling today,happy
Good things keep happening to me,happy
I feel alive and full of energy,happy
I just met my best friend after a long time,happy
My family is doing well and I feel happy,happy
I finally got what I wanted,happy
I feel hopeful and optimistic,happy
I had a great time at the party,happy
I feel lucky and blessed today,happy
Today is a beautiful day,happy
I am enjoying the sunshine and feel great,happy
I completed all my tasks and feel accomplished,happy
I feel delighted with how things turned out,happy
I am so excited for the weekend,happy
I feel refreshed and happy after the vacation,happy
My mood is really good today,happy
I am having the time of my life,happy
Everything seems bright and positive,happy
I feel carefree and joyful,happy
I feel really pleased with myself today,happy
I love dancing with friends,happy
I love listening to music,happy
I love playing games,happy
I love traveling to new places,happy
I love eating good food,happy
I cried with happiness today,happy
I am crying with joy,happy
I love coding and building things,happy
I enjoy going for a morning run,happy
I love watching movies with family,happy
I love baking and cooking,happy
I enjoy painting and drawing,happy
I love hiking in nature,happy
I enjoy swimming in the ocean,happy
I love reading good books,happy
Today has been such a good day,happy
I feel bubbly and full of life,happy
Everything is clicking for me right now,happy
I just received wonderful news,happy
My heart is singing with happiness,happy
I feel so uplifted and positive,happy
I spent a lovely day with people I care about,happy
I feel content and cheerful,happy
I am glowing with happiness,happy
My dreams are finally coming true,happy
I feel so energized and ready for anything,happy
I had a perfect day today,happy
The weather is great and I feel amazing,happy
I feel victorious today,happy
My confidence is high and I feel great,happy
I am grateful for everything in my life,happy
I feel wonderful inside and out,happy
Today was filled with laughter and joy,happy
I feel inspired and full of positivity,happy
Something great happened today and I cannot stop smiling,happy
I feel genuinely happy with no particular reason,happy
I love my life right now,happy
I feel happy when I spend time with my pet,happy
Going out with friends always makes me happy,happy
I just got a gift I really wanted,happy
I finished my project and it turned out great,happy
I feel like celebrating today,happy
I had breakfast at my favorite place and it was wonderful,happy
I got selected for something I worked hard for,happy
I feel sunny and warm inside,happy
Today I helped someone and it made me very happy,happy
I feel amazing after a good night sleep,happy
I just booked a trip and I am so excited,happy
I am really looking forward to tonight,happy
I feel great and nothing can bring me down today,happy
I woke up with a big smile on my face,happy
I feel joyful every time I think about yesterday,happy
I had a fantastic conversation with an old friend,happy
I feel extremely content and happy right now,happy
I love my job and today was especially rewarding,happy
I feel proud of how far I have come,happy
I am enjoying this peaceful and happy moment,happy
I feel thrilled about the opportunities ahead,happy
I just finished a book I loved and feel so good,happy
I feel happy and nothing is bothering me today,happy
Everything feels right in my world today,happy
I am bursting with excitement and happiness,happy
I feel a deep sense of joy today,happy
I am happy and at peace with everything,happy
I feel great after catching up with my family,happy
I am feeling playful and in a great mood,happy
I love life and today reminded me of that,happy
I feel fresh happy and ready to take on the world,happy
I just got good news from the doctor and I am relieved and happy,happy
I feel fantastic after a long walk in the park,happy
I am so happy I could jump up and down,happy
I just realized how much I have to be thankful for,happy
I feel light in my heart today,happy
I am celebrating a small win today and it feels great,happy
I feel wonderful after spending time doing what I love,happy
I am happy and grateful for this beautiful day,happy
I feel like everything is going according to plan,happy
I am so glad today happened,happy
I feel joyful and grateful,happy
I feel really good and I hope it lasts,happy
I am smiling for no reason and I love it,happy
I feel a warm glow of happiness inside,happy
I am happy healthy and full of energy,happy
I just finished something I was dreading and feel relieved and happy,happy
I feel a wave of happiness wash over me,happy
I am enjoying this moment completely,happy
I feel happy and excited about what is coming next,happy
I woke up and everything just felt right,happy
I feel happy to be alive today,happy
I feel ecstatic about the results,happy
I am so thrilled with how today went,happy
I feel great and I want this feeling to last forever,happy
I am really glad to be surrounded by such good people,happy
I feel absolutely wonderful today,happy
Today is one of those rare perfect days,happy
I feel joyful grateful and completely at peace,happy
I am cheerful and enjoying everything around me,happy
I feel a deep sense of satisfaction and happiness,happy
I feel very sad today,sad
I am heartbroken and upset,sad
I feel empty inside,sad
I am feeling low and depressed,sad
Nothing is making me happy,sad
I feel lonely and abandoned,sad
I am missing someone badly,sad
I feel emotionally hurt,sad
I am crying because I am sad,sad
I lost something important,sad
I feel down today,sad
I feel broken inside,sad
I am not okay,sad
I feel hopeless,sad
I am feeling very low,sad
I feel so alone in this world,sad
Nobody understands how I feel,sad
I feel like crying for no reason,sad
I have been feeling down all week,sad
I miss the people I used to be close to,sad
I feel invisible to everyone around me,sad
I am struggling to find joy in anything,sad
My heart aches and I feel terrible,sad
I feel like nothing matters anymore,sad
I have lost all hope,sad
I feel numb and disconnected,sad
I am drowning in sadness,sad
I do not feel like getting out of bed,sad
Life feels meaningless right now,sad
I feel so defeated,sad
I cried myself to sleep last night,sad
I feel deeply sad about what happened,sad
Nobody cares about how I feel,sad
I feel really low and unmotivated,sad
I have been crying all day,sad
I feel like I am losing everything,sad
My mood has been terrible lately,sad
I feel so down and helpless,sad
I just feel really sad for no reason,sad
I am not happy at all,sad
I feel like things will never get better,sad
I miss my old life so much,sad
I feel grief after losing someone,sad
Everything feels grey and dull,sad
I feel a heavy sadness in my chest,sad
I feel rejected and unwanted,sad
I am going through a tough time,sad
My heart is heavy today,sad
I feel like I have lost my purpose,sad
I am dealing with a lot of pain inside,sad
I feel worthless and sad,sad
I am exhausted from being sad all the time,sad
I just want someone to talk to,sad
I feel neglected and forgotten,sad
I cannot shake this sadness,sad
I feel deeply unhappy,sad
I feel like I am not enough,sad
I am really struggling emotionally,sad
My spirit feels broken,sad
I feel miserable today,sad
I lost a loved one and I am devastated,sad
I am grieving and it hurts so much,sad
I feel broken after that breakup,sad
I feel unloved and unappreciated,sad
I miss them every single day,sad
I feel sad when I am alone at night,sad
I feel like the world would not notice if I disappeared,sad
I am hurting inside and nobody knows,sad
I feel a deep emptiness that will not go away,sad
I failed and I feel terrible,sad
I feel like a burden to everyone,sad
I am crying and I do not know why,sad
I feel abandoned by the people I trusted,sad
I feel crushed by disappointment,sad
My eyes are swollen from crying so much,sad
I feel like everything is falling apart,sad
I feel sad when I look at old memories,sad
I am grieving a friendship that ended,sad
I feel like I was forgotten,sad
I feel so much pain inside,sad
I am not sleeping well because I feel so sad,sad
I feel like a failure and it makes me sad,sad
I feel unloved and that hurts deeply,sad
I am going through one of the hardest times of my life,sad
I feel as though nobody wants me around,sad
I have been weeping quietly for days,sad
I feel empty and without purpose,sad
I feel sad and there is no one to comfort me,sad
I feel unwanted and that breaks my heart,sad
The loss I experienced has left me hollow,sad
I feel a sadness that words cannot describe,sad
I feel like I am mourning something I never had,sad
I am sad and pretending everything is fine,sad
I feel like I have been forgotten by everyone,sad
I feel a deep ache in my soul,sad
I am dealing with grief and it is overwhelming,sad
I feel sad every time I think about what could have been,sad
I feel broken and I do not know how to heal,sad
I am sad and exhausted from pretending otherwise,sad
I feel isolated and deeply unhappy,sad
I feel like the sadness will never end,sad
I have lost motivation and feel very low,sad
I feel like I do not belong anywhere,sad
I feel pain every time I think about the past,sad
I feel alone even in a room full of people,sad
I am heartbroken over something I cannot fix,sad
I feel like I have been let down again and again,sad
I carry sadness everywhere I go,sad
I feel deep sorrow for what I have lost,sad
I feel like crying every time I think about it,sad
I am struggling with grief and sadness,sad
I feel as though my heart has been torn apart,sad
I feel a quiet sadness inside that never leaves,sad
I am overwhelmed by sadness and despair,sad
I feel sad and I just need someone to listen,sad
I feel too sad to do anything today,sad
I feel like I am stuck in a cloud of sadness,sad
I feel deep emotional pain right now,sad
I am sad and I do not see a way out,sad
I feel completely desolate and sad,sad
I feel low spirited and without hope,sad
I feel as though sadness has taken over my life,sad
I am feeling down and there is no bright side today,sad
I feel crushed and broken by what happened,sad
I feel sad and lonely and that is all I feel,sad
I feel like life has lost its color,sad
I am very angry right now,angry
This situation makes me furious,angry
I feel irritated and annoyed,angry
I am losing my temper,angry
I feel rage inside me,angry
I am extremely angry and frustrated,angry
I feel insulted and mad,angry
I cannot control my anger,angry
This is very frustrating,angry
I am shouting in anger,angry
I feel aggressive right now,angry
I am mad at everything,angry
This makes me furious,angry
I feel heated up,angry
I am full of anger,angry
I am so angry I cannot think straight,angry
I feel disrespected and furious,angry
I am boiling with anger,angry
This is absolutely unacceptable,angry
I am fed up with everything,angry
I feel provoked and angry,angry
I cannot stand this situation,angry
I feel burning rage right now,angry
I am so frustrated I want to scream,angry
How dare they do this to me,angry
I feel deeply offended,angry
I am sick and tired of this nonsense,angry
I feel crossed and betrayed,angry
I have never been this angry before,angry
I feel explosive anger right now,angry
I am upset and irritated,angry
This injustice makes me furious,angry
I feel my blood pressure rising,angry
I am really mad about what happened,angry
I feel resentment and anger,angry
I cannot believe how unfair this is,angry
I am seething with anger,angry
I feel like I am going to explode,angry
I am frustrated with this situation,angry
I have had enough of this,angry
I feel angry and betrayed,angry
This is making me lose my mind,angry
I am outraged by this behavior,angry
I feel hostile and aggressive,angry
I cannot tolerate this anymore,angry
I am in a really bad mood,angry
I feel bitter and angry,angry
I hate how they treated me,angry
I am fuming right now,angry
I feel a surge of anger,angry
I am livid about what just happened,angry
I want to break something I am so angry,angry
I feel a fire of rage burning inside,angry
I am absolutely disgusted and furious,angry
I feel a volcanic anger building up inside me,angry
I was treated unfairly and I am outraged,angry
I cannot stop thinking about how much this enrages me,angry
I feel deeply wronged and I am angry,angry
I am shouting and I cannot calm down,angry
I feel violent anger rising up in me,angry
I have been holding this anger in for too long,angry
